"from","to","edge_type"
"TAL1","HAVCR2","tf_regulation"
"ESRRG","VSIG8","tf_regulation"
"FOXA1","HNMT","tf_regulation"
"HLF","TNNC2","tf_regulation"
"BACH1","UIMC1","tf_regulation"
"FOXC1","MIR1272","tf_regulation"
"CEBPB","LOC646762","tf_regulation"
"NFE2L2","ACTR3BP2","tf_regulation"
"SP1","ATXN3","tf_regulation"
"DNMT1","EZH2","tf_regulation"
"LEF1","PPIP5K2","tf_regulation"
"CREB1","DOCK7","tf_regulation"
"MYBL1","RNASEH2C","tf_regulation"
"NFIC","UBXN7","tf_regulation"
"YBX1","T","tf_regulation"
"CTCF","APOBEC2","tf_regulation"
"NFE2L2","ADAR","tf_regulation"
"PAX4","MAP3K6","tf_regulation"
"SRY","SUMO3","tf_regulation"
"RFX5","SLC26A2","tf_regulation"
"EGR1","PLXND1","tf_regulation"
"IRF8","SLC43A3","tf_regulation"
"FOSL1","TAF4B","tf_regulation"
"NRF1","GPR150","tf_regulation"
"CTCF","POLDIP2","tf_regulation"
"SPI1","TLR10","tf_regulation"
"JUND","SLC18A1","tf_regulation"
"ATF3","TP53I13","tf_regulation"
"RELA","TRAPPC8","tf_regulation"
"FLI1","NFASC","tf_regulation"
"CFTR","TSC22D4","receptor_regulation"
"ELK4","PRKAA1","tf_regulation"
"MYBL2","SEPHS1","tf_regulation"
"ZBTB33","ARIH1","tf_regulation"
"GATA2","E2F2","tf_regulation"
"AIRE","ADAM17","tf_regulation"
"SRY","METTL18","tf_regulation"
"TCF7L2","RAB23","tf_regulation"
"E2F1","LOC284454","tf_regulation"
"NFYB","CCDC22","tf_regulation"
"CRX","IL31","tf_regulation"
"PAX4","NXPH1","tf_regulation"
"SPI1","SNORA48","tf_regulation"
"STAT6","RWDD3","tf_regulation"
"NFIC","MPC2","tf_regulation"
"PRDM1","TMEM185A","tf_regulation"
"FOSL1","DCK","tf_regulation"
"MAZ","PEPD","tf_regulation"
"ATF1","CCNT1","tf_regulation"
"ZNF384","MYBL1","tf_regulation"
"SPI1","ANG","tf_regulation"
"GATA2","RBP7","tf_regulation"
"PPARA","CUTA","tf_regulation"
"POU3F3","LINC00607","tf_regulation"
"ARID3A","PLAC8","tf_regulation"
"GATA1","KDSR","tf_regulation"
"MYC","TIMM17B","tf_regulation"
"GATA2","MYLK4","tf_regulation"
"LEF1","NREP","tf_regulation"
"TEAD2","CTBP2","tf_regulation"
"NR0B1","TTC24","tf_regulation"
"PAX3","DBF4","tf_regulation"
"E2F5","HOXB7","tf_regulation"
"STAT5A","ANKRD37","tf_regulation"
"FOXC1","MAZ","tf_regulation"
"BACH1","INAFM1","tf_regulation"
"TAL1","WFDC3","tf_regulation"
"PPARG","TMEM135","tf_regulation"
"ESR1","ZBTB20","receptor_regulation"
"CREB1","TCF3","tf_regulation"
"PPARG","RASL10B","tf_regulation"
"E2F1","FXYD7","tf_regulation"
"GATA3","TRIO","tf_regulation"
"NR1H4","NLGN3","tf_regulation"
"IRF3","TP53","tf_regulation"
"EGR1","ATRAID","tf_regulation"
"TFCP2","LHX2","tf_regulation"
"MAFK","FAM98B","tf_regulation"
"YY1","ATXN2","tf_regulation"
"TBP","CIART","tf_regulation"
"USF1","TBC1D23","tf_regulation"
"MYC","GRPEL2","tf_regulation"
"LTBR","HGH1","receptor_regulation"
"E2F1","THBS4","tf_regulation"
"MYBL2","VCP","tf_regulation"
"NRF1","MIR3153","tf_regulation"
"POU2F1","NPHP4","tf_regulation"
"ZNF263","MOB3B","tf_regulation"
"MAX","CADPS","tf_regulation"
"TBX5","BHMT2","tf_regulation"
"TEAD2","CSMD1","tf_regulation"
"MAFK","MAST1","tf_regulation"
"SP3","ZFYVE26","tf_regulation"
"MAZ","TMEM106B","tf_regulation"
"FOXI1","NOVA1","tf_regulation"
"TCF12","PSORS1C2","tf_regulation"
"GATA3","LNPEP","tf_regulation"
"GATA3","SP3","tf_regulation"
"NFE2L1","OR52E2","tf_regulation"
"RFX5","PLAA","tf_regulation"
"SMAD4","MRGPRD","tf_regulation"
"TFAP2A","TP53BP1","tf_regulation"
"NRL","IP6K3","tf_regulation"
"CTCF","DPEP3","tf_regulation"
"CREM","RBBP8","tf_regulation"
"CPEB1","CEACAM1","tf_regulation"
"USF1","SEC22B","tf_regulation"
"ARID3A","B4GALT3","tf_regulation"
"MBD4","ILF3","tf_regulation"
"MAZ","TMUB1","tf_regulation"
"STAT5B","MCCC2","tf_regulation"
"KLF9","SEMA4C","tf_regulation"
"TCF12","SYNJ2-IT1","tf_regulation"
"RELA","CD40LG","tf_regulation"
"POU2F1","SCN3A","tf_regulation"
"MAX","VKORC1","tf_regulation"
"FOXA1","TRIM34","tf_regulation"
"MAFF","CCNB1","tf_regulation"
"NFATC1","ACSL1","tf_regulation"
"GATA3","EIF4A3","tf_regulation"
"MYC","SMURF1","tf_regulation"
"RFX5","KIZ","tf_regulation"
"E2F6","RPS2","tf_regulation"
"MAFA","TECR","tf_regulation"
"E2F4","CCDC15","tf_regulation"
"MYB","CDYL2","tf_regulation"
"TP53","VWA8","tf_regulation"
"ESR1","SGIP1","receptor_regulation"
"E2F6","LNPK","tf_regulation"
"ZBTB7A","DANCR","tf_regulation"
"IRF4","ADK","tf_regulation"
"STAT3","DPEP1","tf_regulation"
"TEAD4","FAM189B","tf_regulation"
"LEF1","TNNT3","tf_regulation"
"NOTCH1","HIST2H2AA4","receptor_regulation"
"TEAD2","ZNF814","tf_regulation"
"NFKB1","DOC2A","tf_regulation"
"POU1F1","WDR63","tf_regulation"
"HNF4A","AGT","tf_regulation"
"POU2F2","UBE2D2","tf_regulation"
"SP1","TMEM59L","tf_regulation"
"GATA1","ASIC2","tf_regulation"
"DBP","CPN1","tf_regulation"
"IKZF1","ZSWIM4","tf_regulation"
"FOXA2","WWC1","tf_regulation"
"UBP1","POLL","tf_regulation"
"YY1","GRM8","tf_regulation"
"NFIC","WDTC1","tf_regulation"
"IRF2","RCN1","tf_regulation"
"CEBPB","TBC1D16","tf_regulation"
"FOXA1","KPNA2","tf_regulation"
"SPI1","PLAG1","tf_regulation"
"E2F4","CLUH","tf_regulation"
"TCF3","SESN2","tf_regulation"
"NFE2","PKN3","tf_regulation"
"GABPA","CCDC121","tf_regulation"
"E2F6","RNF149","tf_regulation"
"ERBB2","DCTN3","receptor_regulation"
"NANOG","RBFOX2","tf_regulation"
"RUNX2","MICAL2","tf_regulation"
"EGR1","TCP11L2","tf_regulation"
"TEAD4","MEMO1","tf_regulation"
"E2F3","FIGN","tf_regulation"
"TFAP2A","VTN","tf_regulation"
"KLF4","LAMP1","tf_regulation"
"GATA2","MIR454","tf_regulation"
"E2F3","OLFM1","tf_regulation"
"TBP","HNRNPDL","tf_regulation"
"ZEB1","GNG3","tf_regulation"
"RUNX3","BTN2A2","tf_regulation"
"FOXC1","UGGT1","tf_regulation"
"CREB1","CLSTN3","tf_regulation"
"MAFK","TOM1L2","tf_regulation"
"HNF4A","THBS1","tf_regulation"
"JUN","CHST4","tf_regulation"
"TCF3","MIR3159","tf_regulation"
"ABCA1","ST3GAL3","receptor_regulation"
"ZBTB7A","ALDH1B1","tf_regulation"
"MAX","MIR4514","tf_regulation"
"ZEB1","KIAA0513","tf_regulation"
"GATA1","MDH1","tf_regulation"
"PAX5","AP1AR","tf_regulation"
"MTF2","SSTR2","tf_regulation"
"BMPR1A","REXO1","receptor_regulation"
