"from","to","edge_type"
"CXCL1","CXCR2","directional"
"CXCL2","CXCR2","directional"
"CXCL3","CXCR2","directional"
"CXCL5","CXCR2","directional"
"PPBP","CXCR2","directional"
"CXCL6","CXCR2","directional"
"CXCL8","CXCR2","directional"
"CXCL6","CXCR1","directional"
"CXCL8","CXCR1","directional"
"CXCL9","CXCR3","directional"
"CXCL10","CXCR3","directional"
"CXCL11","CXCR3","directional"
"CXCL12","CXCR4","directional"
"CXCL13","CXCR5","directional"
"CXCL16","CXCR6","directional"
"XCL1","XCR1","directional"
"XCL2","XCR1","directional"
"CX3CL1","CX3CR1","directional"
"CCL20","CCR6","directional"
"CCL25","CCR9","directional"
"CCL17","CCR4","directional"
"CCL22","CCR4","directional"
"CCL19","CCR7","directional"
"CCL21","CCR7","directional"
"CCL2","CCR2","directional"
"CCL4L1","CCR5","directional"
"CCL3L3","CCR5","directional"
"CCL13","CCR2","directional"
"CCL13","CCR3","directional"
"CCL7","CCR2","directional"
"CCL7","CCR1","directional"
"CCL5","CCR5","directional"
"CCL5","CCR1","directional"
"CCL5","CCR3","directional"
"CCL14","CCR1","directional"
"CCL16","CCR1","directional"
"CCL23","CCR1","directional"
"CCL15","CCR1","directional"
"CCL15","CCR3","directional"
"CCL8","CCR3","directional"
"CCL11","CCR3","directional"
"CCL24","CCR3","directional"
"CCL26","CCR3","directional"
"CCL28","CCR3","directional"
"CCL28","CCR10","directional"
"CCL27","CCR10","directional"
"IL6","IL6ST","directional"
"IL6","IL6R","directional"
"IL11","IL11RA","directional"
"IL11","IL6ST","directional"
"OSM","LIFR","directional"
"OSM","IL6ST","directional"
"OSM","OSMR","directional"
"LIF","LIFR","directional"
"LIF","IL6ST","directional"
"CNTF","CNTFR","directional"
"CNTF","LIFR","directional"
"CNTF","IL6ST","directional"
"CLCF1","CNTFR","directional"
"CLCF1","LIFR","directional"
"CLCF1","IL6ST","directional"
"CTF1","LIFR","directional"
"CTF1","IL6ST","directional"
"CSF3","CSF3R","directional"
"LEP","LEPR","directional"
"IL4","IL13RA1","directional"
"IL4","IL4R","directional"
"IL13","IL13RA1","directional"
"IL13","IL4R","directional"
"IL12A","IL12RB2","directional"
"IL12A","IL12RB1","directional"
"IL23A","IL12RB1","directional"
"IL23A","IL23R","directional"
"CSF2","CSF2RB","directional"
"CSF2","CSF2RA","directional"
"IL3","IL3RA","directional"
"IL3","CSF2RB","directional"
"IL5","IL5RA","directional"
"IL5","CSF2RB","directional"
"IL2","IL2RG","directional"
"IL2","IL2RB","directional"
"IL2","IL2RA","directional"
"IL4","IL2RG","directional"
"IL7","IL7R","directional"
"IL7","IL2RG","directional"
"IL9","IL9R","directional"
"IL9","IL2RG","directional"
"IL15","IL2RG","directional"
"IL15","IL15RA","directional"
"IL15","IL2RB","directional"
"IL21","IL2RG","directional"
"IL21","IL21R","directional"
"TSLP","CRLF2","directional"
"TSLP","IL7R","directional"
"EPO","EPOR","directional"
"GH1","GHR","directional"
"GH2","GHR","directional"
"PRL","PRLR","directional"
"THPO","MPL","directional"
"PDGFC","PDGFRA","directional"
"PDGFA","PDGFRA","directional"
"PDGFA","PDGFRB","directional"
"PDGFB","PDGFRA","directional"
"PDGFB","PDGFRB","directional"
"PLEKHO2","PDGFRB","directional"
"VEGFB","FLT1","directional"
"VEGFA","FLT1","directional"
"VEGFA","KDR","directional"
"VEGFD","KDR","directional"
"VEGFD","FLT4","directional"
"HGF","MET","directional"
"EGF","EGFR","directional"
"CSF1","CSF1R","directional"
"KITLG","KIT","directional"
"FLT3LG","FLT3","directional"
"IFNA1","IFNAR2","directional"
"IFNA1","IFNAR1","directional"
"IFNB1","IFNAR2","directional"
"IFNB1","IFNAR1","directional"
"IFNW1","IFNAR2","directional"
"IFNW1","IFNAR1","directional"
"IFNK","IFNAR2","directional"
"IFNK","IFNAR1","directional"
"IFNE","IFNAR2","directional"
"IFNE","IFNAR1","directional"
"IFNG","IFNGR2","directional"
"IFNG","IFNGR1","directional"
"IL10","IL10RB","directional"
"IL10","IL10RA","directional"
"IL19","IL20RA","directional"
"IL20","IL20RA","directional"
"IL20","IL22RA1","directional"
"IL24","IL20RA","directional"
"IL24","IL22RA1","directional"
"IL22","IL10RB","directional"
"IL22","IL22RA1","directional"
"IL22","IL22RA2","directional"
"IFNL2","IL10RB","directional"
"IFNL2","IFNLR1","directional"
"IFNL3","IL10RB","directional"
"IFNL3","IFNLR1","directional"
"IFNL1","IL10RB","directional"
"IFNL1","IFNLR1","directional"
"TNFSF10","TNFRSF10A","directional"
"TNFSF10","TNFRSF10B","directional"
"TNFSF10","TNFRSF10C","directional"
"TNFSF10","TNFRSF10D","directional"
"TNFSF10","TNFRSF11B","directional"
"TNFSF11","TNFRSF11B","directional"
"TNFSF11","TNFRSF11A","directional"
"TNFSF12","TNFRSF12A","directional"
"TNF","TNFRSF1B","directional"
"TNF","TNFRSF1A","directional"
"LTA","TNFRSF1B","directional"
"LTA","TNFRSF1A","directional"
"LTA","LTBR","directional"
"LTA","TNFRSF14","directional"
"LTB","LTBR","directional"
"TNFSF14","LTBR","directional"
"TNFSF14","TNFRSF14","directional"
"TNFSF14","TNFRSF6B","directional"
"FASLG","TNFRSF6B","directional"
"FASLG","FAS","directional"
"CD40LG","CD40","undirectional"
"CD70","CD27","directional"
"TNFSF8","TNFRSF8","directional"
"TNFSF9","TNFRSF9","directional"
"TNFSF4","TNFRSF4","directional"
"TNFSF18","TNFRSF18","directional"
"TNFSF13","TNFRSF17","directional"
"TNFSF13","TNFRSF13B","directional"
"TNFSF13B","TNFRSF17","directional"
"TNFSF13B","TNFRSF13B","directional"
"TNFSF13B","TNFRSF13C","directional"
"EDA","EDAR","directional"
"EDA","EDA2R","directional"
"TGFB1","TGFBR1","directional"
"TGFB1","TGFBR2","directional"
"TGFB2","TGFBR1","directional"
"TGFB2","TGFBR2","directional"
"TGFB3","TGFBR1","directional"
"TGFB3","TGFBR2","directional"
"INHBA","ACVR1","directional"
"INHBA","ACVR2A","directional"
"INHBA","ACVR1B","directional"
"INHBA","ACVR2B","directional"
"INHBB","ACVR1","directional"
"INHBB","ACVR2A","directional"
"INHBB","ACVR1B","directional"
"INHBB","ACVR2B","directional"
"INHBC","ACVR1","directional"
"INHBC","ACVR2A","directional"
"INHBC","ACVR1B","directional"
"INHBC","ACVR2B","directional"
"INHBE","ACVR1","directional"
"INHBE","ACVR2A","directional"
"INHBE","ACVR1B","directional"
"INHBE","ACVR2B","directional"
"AMH","ACVR1","directional"
"AMH","AMHR2","directional"
"BMP2","ACVR1","directional"
"BMP2","BMPR2","directional"
"BMP2","BMPR1B","directional"
"BMP2","BMPR1A","directional"
"BMP7","BMPR1B","directional"
"BMP7","ACVR2A","directional"
"GDF5","BMPR1A","directional"
"GDF5","ACVR2A","directional"
"IL1A","IL1RAP","directional"
"IL1A","IL1R1","directional"
"IL1A","IL1R2","directional"
"IL1B","IL1RAP","directional"
"IL1B","IL1R1","directional"
"IL1B","IL1R2","directional"
"IL18","IL18RAP","directional"
"IL18","IL18R1","directional"
"CXCL11","ACKR3","directional"
"CXCL12","ACKR3","directional"
"CCL1","CCR8","directional"
"IL25","IL17RB","directional"
"IL25","IL17RA","directional"
"IL17A","IL17RA","directional"
"IL17A","IL17RC","directional"
"IL17F","IL17RA","directional"
"IL17F","IL17RC","directional"
"IL17C","IL17RA","directional"
"IL17C","IL17RE","directional"
"IL17B","IL17RB","directional"
"CD58","CD2","directional"
"CD80","CD28","undirectional"
"CD80","CTLA4","directional"
"CD86","CD28","directional"
"CD86","CTLA4","directional"
"HLA-DMA","CD4","directional"
"HLA-A","CD8A","directional"
"CD274","PDCD1","directional"
"PDCD1LG2","PDCD1","directional"
"ITGB2","CD226","undirectional"
"ITGAL","CD226","directional"
"ITGB2","ICAM1","undirectional"
"ITGAL","ICAM1","undirectional"
"ICAM1","ITGB2","undirectional"
"ICAM1","ITGAL","undirectional"
"CD28","CD80","undirectional"
"ITGAM","ICAM1","undirectional"
"ITGB1","VCAM1","undirectional"
"ITGA4","VCAM1","undirectional"
"ITGA9","VCAM1","undirectional"
"SELPLG","SELP","undirectional"
"SELPLG","SELE","undirectional"
"PECAM1","PECAM1","undirectional"
"PVR","CD226","undirectional"
"NECTIN2","CD226","undirectional"
"CDH2","CDH2","undirectional"
"NRXN3","NLGN4Y","directional"
"CNTN1","NRCAM","directional"
"NCAM1","NCAM1","undirectional"
